id;name;url;referral_code;interval_minutes;min_payout;max_payout;has_ref_program;ref_payout_percent;comments;is_paused;created_at;updated_at;slug;meta_title;meta_description;meta_keywords;has_low_balance
240;BTC Faucet Design;http://btcfaucet.design/;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;30;30;300;1;5;;0;17/08/2017 21:39;17/08/2017 21:39;btc-faucet-design;BitcoinFaucet[dot]Design;Win 20, 30, 50, 100, or 300 satoshi every 30 minutes, paid to your FaucetSystem Bitcoin account. Your free bits are waiting!;Bitcoin, Satoshi, Faucet, FaucetSystem,Get Free Bitcoins;0
241;FreeBitcoin Today;http://freebit.today/;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;30;20;300;1;5;;0;17/08/2017 21:46;17/08/2017 21:46;freebitcoin-today;FreeBitcoin Today;Win 20, 30, 50, 100, or 300 satoshi every 30 mins, paid to your FaucetSystem account. Come get your FreeBitcoin today!;Satoshi, Bitcoin, FaucetSystem,Faucet Free Bitcoins,Faucet,Free Bitcoins;0
242;Get Free Coin;http://getfree.co.in/?id=;2537179;10;20;40;1;20;;0;25/08/2017 19:44;25/08/2017 19:44;get-free-coin;Get Free Coin - Faucet;"Win free Bitcoins with Get Free Coin! Direct payments, 50% referral program - join us &amp; get rewards.";Get Free Coin,Win Free Bitcoin,Get Rewards,Free Bitcoins,Direct Payments;0
243;RektCoins;http://rektcoins.pw/Bitcoin/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;7;20;45;1;15;;0;25/08/2017 19:54;25/08/2017 19:54;rektcoins;Rekt₵oins - ฿itcoins;Claim up to 45 Satoshi Every 7 Minutes. Get paid via FaucetHub, and get 15% referral income!;RektCoins, Satoshi, Bitcoin,FaucetHub,Get Free Bitcoins,Referral Income;0
244;Earn Free Coins;https://earnfreecoin.com/?r=;23498;1;20;500000;1;25;;0;26/08/2017 23:25;26/08/2017 23:25;earn-free-coins;Earn Free Coins - Earn up to 500000 Satoshi per day!;Earn up to 500000 Satoshi per day, and stand a chance to win 2 BTC every month!;bitcoin, free bitcoin, faucet, bitcoin faucet, win bitcoin, dice, bitcoin dice, get free bitcoins, win free bitcoins, bitcoin wallet, earn bitcoin, invest bitcoin, bitcoin mining, lottery, bitcoin lottery;0
245;Free Bitcoin Mine;http://freebtcmine.com/?partner=;74215;12;50;50;1;15;Paid upgrade options are available.;0;11/09/2017 19:39;11/09/2017 19:39;free-bitcoin-mine;FREE Bitcoin Mining Game;Get your free bitcoins here. When a coin is completed you can collect it. You can collect one or more coins every 12 minutes. Pays to your FaucetHub wallet.;Free Bitcoin Mine,Free Bitcoins,FaucetHub,Faucet Gaming Network,Bitcoin Mining;0
246;Faucet Pig;https://faucetpig.com?ref=;freebtc.website;60;1000;1000;1;50;;0;6/10/2017 20:36;6/10/2017 20:36;faucet-pig;faucetpig.com - Claim Satoshis;Accumulate 1000 satoshis every 60 minutes, and increase your flow of Bitcoins. Withdraw your accumulated satoshis, and receive an instant cashout.;faucet pig,claim satoshis,bitcoins,instant cashout;0
247;CoinCrunch;http://www.coincrunch.win/faucet?w=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;0;1;100000000;1;10;;0;18/10/2017 20:15;18/10/2017 20:15;coincrunch;CoinCrunch.win - Unlimited Satoshi, NO ads, NO captchas, NO nonsense.;CoinCrunch.win - Unlimited Satoshi, NO ads, NO captchas, NO nonsense.;CoinCrunch, CoinCrunch.win, Free Bitcoins, FaucetHub, Unlimited Satoshi, FaucetHub CPU Miner;0
248;BTC Free Satoshi;http://btcfreesatoshi.com/free-btc-faucet?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;60;40;5000;1;60;;0;24/10/2017 18:00;24/10/2017 18:00;btc-free-satoshi;Free Bitcoin Faucet - BTC Free Satoshi;Welcome to BTC Free Satoshi Faucet! Btc free satoshi is a completely FREE bitcoin faucet, paying out up to 5,000 satoshi every 60 minutes via FaucetHub.;BTC Free Satoshi, Free Bitcoin Faucet, satoshi, FaucetHub, Bitcoin, Bitcoin Faucet;0
249;Free BTC 88;http://freebtc88.com/free-bitcoin-faucet/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;5;10;10000;1;40;;0;24/10/2017 18:00;24/10/2017 18:00;free-btc-88;Free Bitcoin Faucet - Free BTC 88;Welcome to Freebtc88 Faucet! Get up to 10,000 Satoshis every 5 minutes, paid to your FaucetHub wallet. Referral commision 40%.;Free Bitcoin Faucet, Free BTC 88, Satoshis, FaucetHub, Bitcoin, Bitcoin Faucet;0
250;SatoBitties;http://satobitties.com/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;0;1;100000000;1;10;Javascript-based miner mines BTC in browser.;0;30/10/2017 22:30;30/10/2017 22:30;satobitties;Satobitties.com - SUPER Simple Miner;This site will pay you out when it gets to 100%, which will be 5,120 hashes. It will pay you one satoshi regardless of the current value of the mined coin.;SatoBitties, FaucetHub, Javascript Bitcoin Miner, CoinHive, Free Bitcoin, Satoshi;0
